# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.08141e-05 to 1.10652 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.321615052710e-01       5.117249805582e-03      -1.713688936804e+04      -1.720097007661e+04       5.616441734872e-03      -1.718762310291e+04       5.749494894567e-02       5.749494894567e-02 
       1.366078284242e-01       4.930911145195e-03      -1.765836727043e+04      -1.772215907341e+04       5.412294466569e-03      -1.770872625903e+04       5.544469172353e-02       5.544469172353e-02 
       1.411956347420e-01       4.737863186811e-03      -1.811945960670e+04      -1.818615841018e+04       5.200267238865e-03      -1.817219725535e+04       5.325847488522e-02       5.325847488522e-02 
       1.459311562285e-01       4.537145659332e-03      -1.851090241366e+04      -1.858379991029e+04       4.979483276609e-03      -1.856885647064e+04       5.094633371080e-02       5.094633371080e-02 
       1.508206334086e-01       4.322704265759e-03      -1.884039989956e+04      -1.892214109278e+04       4.744334324028e-03      -1.890585206446e+04       4.856222289764e-02       4.856222289764e-02 
       1.558703237950e-01       4.106868729877e-03      -1.913256930390e+04      -1.922442343902e+04       4.507889140033e-03      -1.920661633918e+04       4.618998375408e-02       4.618998375408e-02 
       1.610865104232e-01       3.907307754953e-03      -1.942650954036e+04      -1.952785299930e+04       4.288682168290e-03      -1.950861661475e+04       4.392704107348e-02       4.392704107348e-02 
       1.664755114013e-01       3.723814117406e-03      -1.976886525782e+04      -1.987710662803e+04       4.087269004164e-03      -1.985679989511e+04       4.186319466755e-02       4.186319466755e-02 
       1.720436913931e-01       3.563928007745e-03      -2.019906331527e+04      -2.031012912399e+04       3.911652674892e-03      -2.028931339666e+04       4.005102813535e-02       4.005102813535e-02 
       1.777974759296e-01       3.422010651286e-03      -2.073670777593e+04      -2.084609890507e+04       3.756191091372e-03      -2.082539165188e+04       3.849158708371e-02       3.849158708371e-02 
       1.837433694346e-01       3.304543497824e-03      -2.136964894962e+04      -2.147383827714e+04       3.626896932643e-03      -2.145372086984e+04       3.712813176953e-02       3.712813176953e-02 
       1.898879778384e-01       3.190619063519e-03      -2.205843272415e+04      -2.215615444470e+04       3.502056063699e-03      -2.213679435882e+04       3.587101078198e-02       3.587101078198e-02 
       1.962380366513e-01       3.081581511009e-03      -2.273476975763e+04      -2.282774611658e+04       3.382051612569e-03      -2.280889999247e+04       3.460682714649e-02       3.460682714649e-02 
       2.028004453712e-01       2.961101151371e-03      -2.332937412417e+04      -2.342197090058e+04       3.249770116956e-03      -2.340303407515e+04       3.324743756103e-02       3.324743756103e-02 
       2.095823091146e-01       2.828593189381e-03      -2.380402645593e+04      -2.390175847758e+04       3.104411387882e-03      -2.388197121835e+04       3.176762530099e-02       3.176762530099e-02 
       2.165909883947e-01       2.690161332597e-03      -2.417343905225e+04      -2.428075051417e+04       2.952498409260e-03      -2.425950267207e+04       3.021516359362e-02       3.021516359362e-02 
       2.238341580312e-01       2.552419404220e-03      -2.450009224597e+04      -2.461833397302e+04       2.801449916206e-03      -2.459544271849e+04       2.868307723256e-02       2.868307723256e-02 
       2.313198762787e-01       2.424149609103e-03      -2.486904318495e+04      -2.499564555472e+04       2.660882223331e-03      -2.497146819860e+04       2.726729128665e-02       2.726729128665e-02 
       2.390566654156e-01       2.314610064872e-03      -2.535340602212e+04      -2.548291636644e+04       2.540589300253e-03      -2.545820485550e+04       2.602854460492e-02       2.602854460492e-02 
       2.470536052596e-01       2.219534578940e-03      -2.597791102853e+04      -2.610470965805e+04       2.436290481045e-03      -2.608023380313e+04       2.496622679107e-02       2.496622679107e-02 
       2.553204413946e-01       2.137204148424e-03      -2.668909823671e+04      -2.681047297763e+04       2.345654763557e-03      -2.678659965978e+04       2.400878798877e-02       2.400878798877e-02 
       2.638677103293e-01       2.052824602581e-03      -2.738479826545e+04      -2.750263699862e+04       2.253036088285e-03      -2.747909990283e+04       2.305970932485e-02       2.305970932485e-02 
       2.727068843917e-01       1.960793326709e-03      -2.797393812126e+04      -2.809370333844e+04       2.152260157007e-03      -2.806974695384e+04       2.205312386710e-02       2.205312386710e-02 
       2.818505399467e-01       1.867802652202e-03      -2.843082369575e+04      -2.855808469591e+04       2.050009182612e-03      -2.853294449720e+04       2.098614513228e-02       2.098614513228e-02 
       2.913125535556e-01       1.773188602416e-03      -2.882714319690e+04      -2.896377216567e+04       1.946166649763e-03      -2.893719507670e+04       1.992332660416e-02       1.992332660416e-02 
       3.011083320646e-01       1.683539679643e-03      -2.928597943682e+04      -2.942882423845e+04       1.848036200165e-03      -2.940124597721e+04       1.894715516575e-02       1.894715516575e-02 
       3.112550844175e-01       1.609676024770e-03      -2.987766446302e+04      -3.002104815711e+04       1.766727458697e-03      -2.999324850378e+04       1.808899419856e-02       1.808899419856e-02 
       3.217721454023e-01       1.541688589243e-03      -3.057170008388e+04      -3.071210031799e+04       1.692030764566e-03      -3.068455824172e+04       1.731596923253e-02       1.731596923253e-02 
       3.326813647797e-01       1.472734288573e-03      -3.125564177756e+04      -3.139465625947e+04       1.616503780106e-03      -3.136714564393e+04       1.655929618309e-02       1.655929618309e-02 
       3.440075796382e-01       1.404261732894e-03      -3.183282577351e+04      -3.197552368777e+04       1.541210040267e-03      -3.194734533923e+04       1.577330044124e-02       1.577330044124e-02 
       3.557791938591e-01       1.332739860577e-03      -3.232636540106e+04      -3.247624908173e+04       1.462776097588e-03      -3.244692233308e+04       1.497739343620e-02       1.497739343620e-02 
       3.680288969728e-01       1.265625726721e-03      -3.284462924196e+04      -3.300017930696e+04       1.389108302850e-03      -3.296991550087e+04       1.422256137299e-02       1.422256137299e-02 
       3.807945665515e-01       1.204547581126e-03      -3.347504943649e+04      -3.363179400251e+04       1.322097778426e-03      -3.360120556253e+04       1.353933070239e-02       1.353933070239e-02 
       3.941204152985e-01       1.148259689882e-03      -3.417035245174e+04      -3.432635897941e+04       1.260264654610e-03      -3.429570656353e+04       1.290047536162e-02       1.290047536162e-02 
       4.080584688247e-01       1.091648635175e-03      -3.482512724887e+04      -3.498318331161e+04       1.198132457933e-03      -3.495207799601e+04       1.226456169121e-02       1.226456169121e-02 
       4.226704970224e-01       1.034588149723e-03      -3.541101151263e+04      -3.557446668667e+04       1.135512870635e-03      -3.554244606068e+04       1.162431222323e-02       1.162431222323e-02 
       4.380305779529e-01       9.785598348905e-04      -3.601810468313e+04      -3.618615989199e+04       1.074142847731e-03      -3.615333310421e+04       1.100939129490e-02       1.100939129490e-02 
       4.542285600609e-01       9.284513296945e-04      -3.670688651197e+04      -3.687650505634e+04       1.019037519325e-03      -3.684328663422e+04       1.043357908797e-02       1.043357908797e-02 
       4.713748266740e-01       8.791829178926e-04      -3.742755489068e+04      -3.759885156455e+04       9.649474238580e-04      -3.756521730875e+04       9.878180474983e-03       9.878180474983e-03 
       4.896069924568e-01       8.299037487033e-04      -3.811168775220e+04      -3.828730908212e+04       9.108550612757e-04      -3.825288927416e+04       9.323797709414e-03       9.323797709414e-03 
       5.090995416435e-01       7.814484153701e-04      -3.881317580967e+04      -3.899297667775e+04       8.576985043994e-04      -3.895778784666e+04       8.782389588060e-03       8.782389588060e-03 
       5.300780803807e-01       7.355089676960e-04      -3.959168624508e+04      -3.977392017604e+04       8.072525961960e-04      -3.973819339983e+04       8.263275830983e-03       8.263275830983e-03 
