# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f          
       5.844276669695e+13       2.213043323633e-25       7.930793799460e-09       7.368955998472e+21       1.537679974286e+04       2.631086892685e-10       8.986627199178e+17       4.578931817741e-09       3.212334795446e+43       5.441479290185e+32       2.720739645092e+33       2.217816006014e+43       5.430150801786e+43       4.536713305988e-06       1.861773526709e+00 
       5.803651111912e+13       2.244134369286e-25       7.987182470970e-09       7.266863828546e+21       1.537679974286e+04       2.649504500934e-10       8.924158092530e+17       4.610984340464e-09       3.123941695563e+43       5.328789549800e+32       2.664394774900e+33       2.156788857779e+43       5.280730553661e+43       4.595631660611e-06       1.837904635341e+00 
       5.763307956218e+13       2.275662213040e-25       8.041752153076e-09       7.166186080306e+21       1.537679974286e+04       2.668051032440e-10       8.862123229920e+17       4.643261230847e-09       3.037980888889e+43       5.218433545687e+32       2.609216772843e+33       2.097440979967e+43       5.135421869168e+43       4.654550015234e-06       1.814640019704e+00 
       5.723245239541e+13       2.307632991471e-25       8.098140824586e-09       7.066903157843e+21       1.537679974286e+04       2.686727389668e-10       8.800519592771e+17       4.675764059463e-09       2.954385446553e+43       5.110362947580e+32       2.555181473790e+33       2.039726164468e+43       4.994111611328e+43       4.713468369857e-06       1.791957019458e+00 
       5.683461012454e+13       2.340052927368e-25       8.154529496096e-09       6.968995736739e+21       1.537679974286e+04       2.705534481395e-10       8.739344183487e+17       4.708494407878e-09       2.873090281355e+43       5.004530426105e+32       2.502265213052e+33       1.983599474670e+43       4.856689756325e+43       4.772386724481e-06       1.769834093292e+00 
       5.643953339081e+13       2.372928330944e-25       8.212737157010e-09       6.872444760303e+21       1.537679974286e+04       2.724473222765e-10       8.678594025309e+17       4.741453868733e-09       2.794032097079e+43       4.900889632051e+32       2.450444816025e+33       1.929017210474e+43       4.723049307847e+43       4.831305079104e-06       1.748250750691e+00 
       5.604720297002e+13       2.406265601065e-25       8.269125828519e-09       6.777231435862e+21       1.537679974286e+04       2.743544535324e-10       8.618266162174e+17       4.774644045814e-09       2.717149339223e+43       4.799395176070e+32       2.399697588035e+33       1.875936874264e+43       4.593086213774e+43       4.890223433727e-06       1.727187488635e+00 
       5.565759977162e+13       2.440071226494e-25       8.327333489433e-09       6.683337231103e+21       1.537679974286e+04       2.762749347072e-10       8.558357658564e+17       4.808066554134e-09       2.642382147061e+43       4.700002608801e+32       2.350001304400e+33       1.824317137823e+43       4.466699285166e+43       4.949141788351e-06       1.706625732818e+00 
       5.527070483775e+13       2.474351787155e-25       8.385541150346e-09       6.590743870469e+21       1.537679974286e+04       2.782088592501e-10       8.498865599368e+17       4.841723020012e-09       2.569672307045e+43       4.602668401401e+32       2.301334200701e+33       1.774117810153e+43       4.343790117475e+43       5.008060142974e-06       1.686547783020e+00 
       5.488649934235e+13       2.509113955412e-25       8.445567800663e-09       6.499433331595e+21       1.537679974286e+04       2.801563212649e-10       8.439787089740e+17       4.875615081152e-09       2.498963207475e+43       4.507349926485e+32       2.253674963242e+33       1.725299806183e+43       4.224263013929e+43       5.066978497597e-06       1.666936762288e+00 
